id;Latex;English 1;English 2;English 3
242;\lim_{b \to {infinity}} f(x);;;
243;\lim_{b \to {infinity}} g(a);;;
244;\lim_{\eta \to {infinity}} g(\delta);;;
245;\lim_{\delta \to {infinity}} \psi(\alpha);;;
246;\lim_{\epsilon \to {infinity}} f(\eta);;;
247;\lim_{b \to {infinity}} \phi(b);;;
248;\lim_{\alpha \to {infinity}} \phi(y);;;
249;\lim_{y \to {infinity}} g(z);;;
250;\lim_{c \to {infinity}} f(\delta);;;
251;\lim_{c \to {infinity}} f(\beta);;;
252;C_{m \times n};;;
253;\nabla \cdot \vec{F} = 947;;;
254;\nabla \cdot \vec{F} = 171;;;
255;\nabla \cdot \vec{F} = 419;;;
256;\nabla \cdot \vec{F} = 182;;;
257;\nabla \cdot \vec{F} = 672;;;
258;\nabla \cdot \vec{F} = 47;;;
259;\nabla \cdot \vec{F} = 202;;;
260;\nabla \cdot \vec{F} = 192;;;
261;\nabla \cdot \vec{F} = 745;;;
262;\nabla \cdot \vec{F} = 589;;;
263;\nabla \cdot \vec{F} = 699;;;
264;\nabla \cdot \vec{F} = 233;;;
265;\nabla \cdot \vec{F} = 835;;;
266;\nabla \cdot \vec{F} = 137;;;
267;\nabla \cdot \vec{F} = 158;;;
268;\nabla \cdot \vec{F} = 131;;;
269;\nabla \cdot \vec{F} = 513;;;
270;\nabla \cdot \vec{F} = 334;;;
271;\nabla \cdot \vec{F} = 65;;;
272;\nabla \cdot \vec{F} = 840;;;
273;\nabla \times \vec{F} = \vec{0};;;
274;\frac{\partial f}{\partial x} = f';;;
275;\frac{\partial h}{\partial \delta} = h';;;
276;\frac{\partial g}{\partial \zeta} = g';;;
277;\frac{\partial h}{\partial x} = h';;;
278;\frac{\partial \phi}{\partial \epsilon} = \phi';;;
279;\frac{\partial g}{\partial \delta} = g';;;
280;\frac{\partial \psi}{\partial a} = \psi';;;
281;\frac{\partial h}{\partial x} = h';;;
282;\frac{\partial f}{\partial a} = f';;;
283;\frac{\partial h}{\partial b} = h';;;
284;\frac{\partial \phi}{\partial \delta} = \phi';;;
285;\frac{\partial h}{\partial \zeta} = h';;;
286;\frac{\partial g}{\partial c} = g';;;
287;\frac{\partial h}{\partial x} = h';;;
288;\frac{\partial \phi}{\partial \eta} = \phi';;;
289;\frac{\partial f}{\partial x} = f';;;
290;\frac{\partial g}{\partial \eta} = g';;;
291;\frac{\partial h}{\partial \alpha} = h';;;
292;\frac{\partial f}{\partial \delta} = f';;;
293;\frac{\partial h}{\partial \alpha} = h';;;
294;z_1, y_2,..., a_n \in \mathbb{D};;;
295;b_1, \eta_2,..., b_n \in \mathbb{C};;;
296;x_1, x_2,..., y_n \in \mathbb{B};;;
297;a_1, x_2,..., \eta_n \in \mathbb{D};;;
298;\alpha_1, \delta_2,..., \eta_n \in \mathbb{Y};;;
299;b_1, \eta_2,..., b_n \in \mathbb{D};;;
300;b_1, \eta_2,..., \alpha_n \in \mathbb{Y};;;
301;\alpha_1, x_2,..., a_n \in \mathbb{Y};;;
302;a_1, c_2,..., \alpha_n \in \mathbb{Y};;;
303;b_1, z_2,..., a_n \in \mathbb{Y};;;
304;\eta_1, \beta_2,..., z_n \in \mathbb{D};;;
305;b_1, b_2,..., \beta_n \in \mathbb{B};;;
306;b_1, \delta_2,..., \gamma_n \in \mathbb{C};;;
307;z_1, \beta_2,..., \delta_n \in \mathbb{C};;;
308;a_1, z_2,..., \gamma_n \in \mathbb{D};;;
309;z_1, y_2,..., \zeta_n \in \mathbb{C};;;
310;\epsilon_1, c_2,..., c_n \in \mathbb{D};;;
311;\epsilon_1, \zeta_2,..., a_n \in \mathbb{D};;;
312;\alpha_1, b_2,..., \alpha_n \in \mathbb{X};;;
313;\eta_1, b_2,..., \gamma_n \in \mathbb{D};;;
314;\log_{323.19} c = 807;;;
315;\log_{42.63} x = 364;;;
316;\log_{33.09} \zeta = 683;;;
317;\log_{234.55} y = 191;;;
318;\log_{416.75} b = 3344;;;
319;\log_{353.47} c = 665;;;
320;\log_{481.00} \alpha = 32;;;
321;\log_{41.28} b = 302;;;
322;\log_{253.59} a = 307;;;
323;\log_{267.85} x = 576;;;
324;\log_{175.10} x = 655;;;
325;\log_{7.24} \epsilon = 187;;;
326;\log_{351.96} a = 360;;;
327;\log_{56.69} a = 347;;;
328;\log_{345.99} \epsilon = 464;;;
329;\log_{91.10} \epsilon = 698;;;
330;\log_{148.66} x = 350;;;
331;\log_{403.88} \eta = 903;;;
332;\log_{67.81} c = 180;;;
333;\log_{391.44} y = 682;;;
334;P({event}_A \cap {event}_B) = P({event}_A)P({event}_B);;;
335;\binom{n}{k} = \frac{n!}{k!(n-k)!};;;
336;||\vec{\zeta}|| = \sqrt{\zeta_1^2 + \gamma_2^2 + \cdots + \delta_n^2};;;
337;||\vec{c}|| = \sqrt{y_1^2 + \eta_2^2 + \cdots + \delta_n^2};;;
338;||\vec{c}|| = \sqrt{\epsilon_1^2 + c_2^2 + \cdots + \delta_n^2};;;
339;||\vec{\alpha}|| = \sqrt{a_1^2 + \epsilon_2^2 + \cdots + \delta_n^2};;;
340;||\vec{\zeta}|| = \sqrt{y_1^2 + \eta_2^2 + \cdots + \delta_n^2};;;
341;||\vec{a}|| = \sqrt{z_1^2 + z_2^2 + \cdots + \delta_n^2};;;
342;||\vec{a}|| = \sqrt{\beta_1^2 + a_2^2 + \cdots + \delta_n^2};;;
343;||\vec{y}|| = \sqrt{\delta_1^2 + c_2^2 + \cdots + \delta_n^2};;;
344;||\vec{b}|| = \sqrt{b_1^2 + x_2^2 + \cdots + \delta_n^2};;;
345;||\vec{\zeta}|| = \sqrt{\zeta_1^2 + x_2^2 + \cdots + \delta_n^2};;;
346;||\vec{z}|| = \sqrt{\eta_1^2 + b_2^2 + \cdots + \delta_n^2};;;
347;||\vec{c}|| = \sqrt{z_1^2 + z_2^2 + \cdots + \delta_n^2};;;
348;||\vec{b}|| = \sqrt{z_1^2 + a_2^2 + \cdots + \delta_n^2};;;
349;||\vec{\zeta}|| = \sqrt{a_1^2 + \gamma_2^2 + \cdots + \delta_n^2};;;
350;||\vec{y}|| = \sqrt{x_1^2 + z_2^2 + \cdots + \delta_n^2};;;
351;||\vec{\alpha}|| = \sqrt{\alpha_1^2 + \zeta_2^2 + \cdots + \delta_n^2};;;
352;||\vec{x}|| = \sqrt{x_1^2 + x_2^2 + \cdots + \delta_n^2};;;
353;||\vec{c}|| = \sqrt{z_1^2 + x_2^2 + \cdots + \delta_n^2};;;
354;||\vec{b}|| = \sqrt{\gamma_1^2 + \gamma_2^2 + \cdots + \delta_n^2};;;
355;||\vec{\epsilon}|| = \sqrt{z_1^2 + \beta_2^2 + \cdots + \delta_n^2};;;
356;\psi^{-1}(\zeta);;;
357;f^{-1}(\epsilon);;;
358;\omega^{-1}(a);;;
359;g^{-1}(\delta);;;
360;h^{-1}(b);;;
361;\phi^{-1}(z);;;
362;g^{-1}(z);;;
363;f^{-1}(\delta);;;
364;\omega^{-1}(\eta);;;
365;g^{-1}(\beta);;;
366;\phi^{-1}(x);;;
367;h^{-1}(z);;;
368;f^{-1}(a);;;
369;f^{-1}(c);;;
370;h^{-1}(z);;;
371;f^{-1}(x);;;
372;h^{-1}(x);;;
373;\phi^{-1}(\alpha);;;
374;\phi^{-1}(z);;;
375;h^{-1}(z);;;
376;e^ \zeta = \sum_{{n=0}}^{\infty} \frac{\zeta^n}{n!};;;
377;e^ x = \sum_{{n=0}}^{\infty} \frac{\epsilon^n}{n!};;;
378;e^ z = \sum_{{n=0}}^{\infty} \frac{\delta^n}{n!};;;
379;e^ a = \sum_{{n=0}}^{\infty} \frac{\alpha^n}{n!};;;
380;e^ \alpha = \sum_{{n=0}}^{\infty} \frac{y^n}{n!};;;
381;e^ \delta = \sum_{{n=0}}^{\infty} \frac{\eta^n}{n!};;;
382;e^ \eta = \sum_{{n=0}}^{\infty} \frac{c^n}{n!};;;
383;e^ \epsilon = \sum_{{n=0}}^{\infty} \frac{\zeta^n}{n!};;;
384;e^ b = \sum_{{n=0}}^{\infty} \frac{\alpha^n}{n!};;;
385;e^ \delta = \sum_{{n=0}}^{\infty} \frac{c^n}{n!};;;
386;e^ b = \sum_{{n=0}}^{\infty} \frac{z^n}{n!};;;
387;e^ c = \sum_{{n=0}}^{\infty} \frac{z^n}{n!};;;
388;e^ c = \sum_{{n=0}}^{\infty} \frac{y^n}{n!};;;
389;e^ \delta = \sum_{{n=0}}^{\infty} \frac{z^n}{n!};;;
390;e^ x = \sum_{{n=0}}^{\infty} \frac{b^n}{n!};;;
391;e^ \zeta = \sum_{{n=0}}^{\infty} \frac{\zeta^n}{n!};;;
392;e^ c = \sum_{{n=0}}^{\infty} \frac{y^n}{n!};;;
393;e^ \eta = \sum_{{n=0}}^{\infty} \frac{\beta^n}{n!};;;
394;e^ y = \sum_{{n=0}}^{\infty} \frac{b^n}{n!};;;
395;e^ \zeta = \sum_{{n=0}}^{\infty} \frac{z^n}{n!};;;
396;\frac{dy}{d \eta} = \phi'(a);;;
397;\frac{dy}{d \delta} = G'(a);;;
398;\frac{dy}{d \epsilon} = \phi'(\alpha);;;
399;\frac{dy}{d \epsilon} = \phi'(\delta);;;
400;\frac{dy}{d b} = g'(\epsilon);;;
401;\frac{dy}{d b} = g'(\beta);;;
402;\frac{dy}{d \epsilon} = \phi’(\delta);;;
403;\frac{dy}{d \alpha} = g'(\eta);;;
404;\frac{dy}{d z} = f'(a);;;
405;\frac{dy}{d \epsilon} = g'(\epsilon);;;
406;\frac{dy}{d \zeta} = g'(\beta);;;
407;\frac{dy}{d \delta} = f'(\alpha);;;
408;\frac{dy}{d b} = \phi'(a);;;
409;\frac{dy}{d \eta} = f’(\beta);;;
410;\frac{dy}{d \epsilon} = h'(a);;;
411;\frac{dy}{d \alpha} = h'(\epsilon);;;
412;\frac{dy}{d c} = {\phi'(a);;;
413;\frac{dy}{d \epsilon} = {\phi'(\epsilon);;;
414;\frac{dy}{d c} = {\psi'(\eta);;;
415;\frac{dy}{d b} = {\phi'(\eta);;;
416;c \equiv 989 \mod{n};;;
417;b \equiv 38 \mod{n};;;
418;\delta \equiv 311 \mod{n};;;
419;\delta \equiv 636 \mod{n};;;
420;\delta \equiv 223 \mod{n};;;
421;\eta \equiv 596 \mod{n};;;
422;x \equiv 784 \mod{n};;;
423;\eta \equiv 5520 \mod{n};;;
424;\epsilon \equiv 440 \mod{n};;;
425;\epsilon \equiv 610 \mod{n};;;
426;\delta \equiv 654 \mod{n};;;
427;x \equiv 892 \mod{n};;;
428;x \equiv 806 \mod{n};;;
429;b \equiv 680 \mod{n};;;
430;\delta \equiv 214 \mod{n};;;
431;\delta \equiv 411 \mod{n};;;
432;\eta \equiv 4375 \mod{n};;;
433;\delta \equiv 958 \mod{n};;;
434;\epsilon \equiv 148 \mod{n};;;
435;\alpha \equiv 9136 \mod{n};;;
436; \delta \oplus b = y;;;
437; c \oplus c = \epsilon;;;
438; a \oplus a = x;;;
439; x \oplus \delta = x;;;
440; \eta \oplus \eta = \eta;;;
441; a \oplus c = a;;;
442; c \oplus \zeta = z;;;
443; c \oplus a = c;;;
444; \zeta \oplus \zeta = y;;;
445; \epsilon \oplus \delta = \beta;;;
446; b \oplus c = \eta;;;
447; a \oplus \eta = \epsilon;;;
448; y \oplus x = y;;;
449; z \oplus \alpha = \delta;;;
450; b \oplus \eta = x;;;
451; \eta \oplus \zeta = \zeta;;;
452; \alpha \oplus y = x;;;
453; \epsilon \oplus \alpha = \zeta;;;
454; x \oplus x = c;;;
455; a \oplus \beta = \zeta;;;
456;[C|A] = X;;;
457;D_A \cup Y_B = B_C;;;
458;Y_A \cap X_B = C_D;;;
459;\cos(x) + \sin(\delta);;;
460;\cos(y) + \sin(c);;;
461;\cos(\beta) + \sin(\beta);;;
462;\cos(\delta) + \sin(\alpha);;;
463;\cos(\epsilon) + \sin(\epsilon);;;
464;\cos(\zeta) + \sin(\zeta);;;
465;\cos(y) + \sin(z);;;
466;\cos(y) + \sin(c);;;
467;\cos(y) + \sin(\delta);;;
468;\cos(b) + \sin(a);;;
469;\cos(a) + \sin(a);;;
470;\cos(x) + \sin(x);;;
471;\cos(b) + \sin(x);;;
472;\cos(\delta) + \sin(b);;;
473;\cos(x) + \sin(z);;;
474;\cos(\zeta) + \sin(y);;;
475;\cos(z) + \sin(z);;;
476;\cos(z) + \sin(c);;;
477;\cos(\eta) + \sin(c);;;
478;\cos(\alpha) + \sin(\delta);;;
479; \epsilon \otimes z = \beta;;;
480; \zeta \otimes \zeta = a;;;
481; y \otimes \zeta = \epsilon;;;
482; y \otimes y = c;;;
483; b \otimes a = \zeta;;;
484; y \otimes b = \eta;;;
485; b \otimes \delta = a;;;
486; \zeta \otimes x = a;;;
487; \epsilon \otimes \beta = \gamma;;;
488; b \otimes c = b;;;
489; z \otimes y = \beta;;;
490; y \otimes a = \epsilon;;;
491; z \otimes \zeta = a;;;
492; a \otimes \beta = c;;;
493; y \otimes c = \gamma;;;
494; z \otimes y = b;;;
495; \epsilon \otimes y = y;;;
496; z \otimes x = b;;;
497; c \otimes \beta = y;;;
498; z \otimes c = a;;;
499; \zeta \odot \alpha = x;;;
500; \alpha \odot z = x;;;
501; b \odot y = c;;;
502; y \odot c = \zeta;;;
503; \alpha \odot \zeta = \delta;;;
504; y \odot \epsilon = b;;;
505; y \odot \alpha = \alpha;;;
506; a \odot a = b;;;
507; \zeta \odot b = b;;;
508; a \odot b = \epsilon;;;
509; x \odot \epsilon = \eta;;;
510; c \odot \eta = c;;;
511; \epsilon \odot z = \epsilon;;;
512; \alpha \odot \alpha = \delta;;;
513; b \odot y = \alpha;;;
514; \zeta \odot a = \zeta;;;
515; \eta \odot y = y;;;
516; \delta \odot \delta = \gamma;;;
517; x \odot b = x;;;
518; \eta \odot a = x;;;
519;[\eta_1, \delta_2, \ldots, \eta_n]^T;;;
520;[z_1, \beta_2, \ldots, \delta_n]^T;;;
521;[y_1, x_2, \ldots, z_n]^T;;;
522;[\epsilon_1, x_2, \ldots, x_n]^T;;;
523;[\eta_1, \beta_2, \ldots, c_n]^T;;;
524;[\zeta_1, x_2, \ldots, \delta_n]^T;;;
525;[\zeta_1, z_2, \ldots, \gamma_n]^T;;;
526;[y_1, \zeta_2, \ldots, \alpha_n]^T;;;
527;[a_1, \beta_2, \ldots, \eta_n]^T;;;
528;[c_1, c_2, \ldots, \alpha_n]^T;;;
529;[\alpha_1, a_2, \ldots, \beta_n]^T;;;
530;[\alpha_1, \zeta_2, \ldots, \zeta_n]^T;;;
531;[x_1, a_2, \ldots, \eta_n]^T;;;
532;[\epsilon_1, y_2, \ldots, z_n]^T;;;
533;[x_1, \delta_2, \ldots, \epsilon_n]^T;;;
534;[\beta_1, \beta_2, \ldots, b_n]^T;;;
535;[b_1, y_2, \ldots, \eta_n]^T;;;
536;[c_1, y_2, \ldots, x_n]^T;;;
537;[x_1, b_2, \ldots, \beta_n]^T;;;
538;[\delta_1, \alpha_2, \ldots, \alpha_n]^T;;;
539;\gcd(4177, 456) = 854;;;
540;\gcd(600, 1662) = 991;;;
541;\gcd(166, 617) = 559;;;
542;\gcd(499, 635) = 489;;;
543;\gcd(101, 542) = 800;;;
544;\gcd(914, 223) = 593;;;
545;\gcd(519, 767) = 722;;;
546;\gcd(562, 354) = 476;;;
547;\gcd(350, 409) = 136;;;
548;\gcd(6424, 761) = 5477;;;
549;\gcd(867, 101) = 584;;;
550;\gcd(499, 5250) = 525;;;
551;\gcd(391, 8535) = 493;;;
552;\gcd(634, 611) = 2353;;;
553;\gcd(829, 956) = 703;;;
554;\gcd(6, 687) = 250;;;
555;\gcd(614, 940) = 88;;;
556;\gcd(500, 168) = 170;;;
557;\gcd(416, 5529) = 552;;;
558;\gcd(39, 358) = 907;;;
559;\text{{LCM}}(861, 6959) = 959;;;
560;\text{{LCM}}(956, 45) = 657;;;
561;\text{{LCM}}(17, 777) = 844;;;
562;\text{{LCM}}(910, 5735) = 735;;;
563;\text{{LCM}}(161, 974) = 245;;;
564;\text{{LCM}}(39, 919) = 2464;;;
565;\text{{LCM}}(793, 832) = 216;;;
566;\text{{LCM}}(57, 904) = 312;;;
567;\text{{LCM}}(582, 967) = 678;;;
568;\text{{LCM}}(131, 583) = 743;;;
569;\text{{LCM}}(743, 348) = 671;;;
570;\text{{LCM}}(385, 758) = 977;;;
571;\text{{LCM}}(380, 290) = 332;;;
572;\text{{LCM}}(75, 316) = 796;;;
573;\text{{LCM}}(671, 710) = 565;;;
574;\text{{LCM}}(6189, 605) = 8498;;;
575;\text{{LCM}}(3851, 61) = 385;;;
