Spoken Text,Formula ID,Latex,Audio Path,Spoken Text Version,Transcribed Text
"The probability of event one given event two equals the probability of event two given event one times the probability of event one, all over the probability of event two.",11,P(E1 | E2) = \frac{P(E2 | E1)P(E1)}{P(E2)},/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f11.mp3,1,"The probability of event 1 given event 2 equals the probability of event 2 given event 1 times the probability of event 1, all divided by the probability of event 2."
"The probability of event one given event two equals the probability of both event one and event two happening, divided by the probability of event two happening.",12,P(E1 | E2) = \frac{P(E1 \cap E2)}{P(E2)},/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f12.mp3,1,"The probability of event 1 given event 2 equals the probability of both event 1 and event 2 occurring, divided by the probability of event 2."
The probability of event one equals the sum over n of the probability of event one given event n times the probability of event n.,13,P(E1) = \sum_{n} P(E1 | {eventn})P({eventn}),/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f13.mp3,1,The probability of event 1 equals the sum over n of the probability of event 1 given event n times the probability of event n.
The expected value of X equals the sum of each value of X times its corresponding probability.,14,E(X) = \sum x_iP(X=x_i),/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f14.mp3,1,The expected value of x equals the sum of each value of x times its corresponding probability.
"The variance of X equals the sum of the square of the difference between each x value and the mean, times the probability of X equaling that x value.",15,Var(X) = \sum (x_i - \mu)^2P(X=x_i),/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f15.mp3,1,"The variance of x equals the sum of the square of the difference between each x value and the mean, times the probability of x equaling that x value."
Sigma is equal to the square root of the variance of X.,16,\sigma = \sqrt{Var(X)},/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f16.mp3,1,sigma is equal to the square root of the variance of x.
"The probability of X equaling x is the same as the probability of the event, for any x in the set X.",17,P(X=x) = P({event}) for x \in X,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f17.mp3,1,"The probability of x equaling x is the same as the probability of the event, for any x in the set x"
"The function F of x equals the probability that X is less than or equal to x, which is the sum of the probabilities that X equals x sub i for all x sub i less than or equal to x.",18,F(x) = P(X \le x) = \sum_{x_i \le x} P(X=x_i),/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f18.mp3,1,The function f of x equals the probability that x is less than or equal to x. Which is the sum of the probabilities that x equals x sub i for all x sub i less than or equal to x.
"The probability of X equals k is equal to e to the power of negative lambda times lambda to the power of k, all over k factorial.",19,P(X=k) = \frac{e^{-\lambda}\lambda^k}{k!},/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f19.mp3,1,"The probability of x equals k is equal to e to the power of negative λ times λ to the power of k, all over k factorial."
The probability of X equals k is equal to n choose k times p to the power of k times one minus p to the power of n minus k.,20,P(X=k) = \binom{n}{k}p^k(1-p)^{n-k},/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f20.mp3,1,The probability of x equals k is equal to n–choose k × p to the power of k × 1 − p2. The power of n − k
"F of x equals one over sigma times the square root of two pi, times e to the power of negative one-half times the quantity x minus mu divided by sigma, all squared.",21,f(x) = \frac{1}{\sigma\sqrt{2\pi}}e^{-\frac{1}{2}(\frac{x-\mu}{\sigma})^2},/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f21.mp3,1,f of x equals 1 over sigma times the square root of 2 pi times e to the power of negative one-half times the quantity x minus mu divided by sigma all squared
The probability that the absolute value of X minus mu is greater than or equal to k times sigma is less than or equal to one over k squared.,22,P(|X-\mu| \ge k\sigma) \le \frac{1}{k^2},/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f22.mp3,1,The probability that the absolute value of x-μ is greater than or equal to k times σ is less than or equal to 1 over k².
X bar sub n follows a normal distribution with mean mu and variance sigma squared over n.,23,"\bar{X}_n \sim N(\mu, \frac{\sigma^2}{n})",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f23.mp3,1,X bar sub n follows a normal distribution with mean mu and variance sigma squared over n . n n n n n n n n n n n n n n n n n n n n n n
The limit as n approaches infinity of the probability that the absolute difference between X-bar n and mu is greater than epsilon equals zero.,24,lim_{n\to\infty} P(|\bar{X}_n - \mu| > \epsilon) = 0,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f24.mp3,1,The limit as n approaches infinity of the probability that the absolute difference between x bar n and mu is greater than ε equals zero
The covariance of X and Y equals the expected value of the product of X minus the mean of X and Y minus the mean of Y.,25,"Cov(X,Y) = E[(X-\mu_X)(Y-\mu_Y)]",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f25.mp3,1,The covariance of x and y equals the expected value of the product of x minus the mean of x and y. minus the mean of y
The correlation coefficient of X and Y equals the covariance of X and Y divided by the product of the standard deviations of X and Y.,26,"\rho_{X,Y} = \frac{Cov(X,Y)}{\sigma_X \sigma_Y}",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f26.mp3,1,The correlation coefficient of x and y equals the covariance of x and y divided by the product of… the standard deviations of x and y
The expected value of X given Y equals y is the sum of x times the probability of X equals x given Y equals y.,27,E(X|Y=y) = \sum x P(X=x | Y=y),/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f27.mp3,1,The expected value of x given y equals y is the sum of x times the probability of x equals x given y equals y
"The probability density function of X, denoted as f sub X of x, is equal to the integral from negative infinity to positive infinity of the joint probability density function of X and Y, denoted as f sub X, Y of x, y, with respect to y.",28,"f_X(x) = \int_{-\infty}^{\infty} f_{X,Y}(x,y) dy",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f28.mp3,1,"The probability density function of x denoted as f sub x of x is equal to the integral from negative infinity to positive infinity of the joint probability. Density function of x and y denoted as f sub x, y of x, y, with respect to y"
The probability of both event one and event two occurring is equal to the probability of event one times the probability of event two.,29,P(E1 \cap E2) = P(E1)P(E2),/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f29.mp3,1,The probability of event 1 and event 2 occurring is equal to the probability of event 1 times. The probability of event 2
The joint probability of X equals x and Y equals y is equal to the probability of X equals x times the conditional probability of Y equals y given X equals x.,30,"P(X=x, Y=y) = P(X=x)P(Y=y | X=x)",/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f30.mp3,1,The joint probability of x equals x and y equals y is equal to the probability of x equals x times. The conditional probability of y equals y given x equals x
531 plus 905 equals forty-seven.,31,531 + 905 = 488,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f31.mp3,1,531 plus 905 equals 47
701 plus 777 equals forty-seven.,32,701 + 777 = 799,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f32.mp3,1,701 plus 777 equals 47
673 plus 754 equals forty-seven.,33,673 + 754 = 536,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f33.mp3,1,673 plus 754 equals 47
527 plus 97 equals forty-seven.,34,5912 + 97 = 932,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f34.mp3,1,527 plus 97 equals 47
552 plus 616 equals forty-seven.,35,552 + 616 = 833,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f35.mp3,1,552 plus 616 equals 47
564 plus 560 equals forty-seven.,36,564 + 560 = 8,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f36.mp3,1,564 plus 560 equals 47
188 plus 989 equals forty-seven.,37,188 + 989 = 391,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f37.mp3,1,188 plus 989 equals 47
707 plus 740 equals forty-seven.,38,707 + 740 = 200,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f38.mp3,1,707 plus 740 equals 47
25 plus 634 equals forty-seven.,39,486 + 634 = 486,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f39.mp3,1,25 plus 634 equals 47
605 plus 241 equals forty-seven.,40,605 + 241 = 7918,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f40.mp3,1,605 plus 241 equals 47.
751 plus 904 equals forty-seven.,41,751 + 904 = 51,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f41.mp3,1,751 plus 904 equals 47.
153 plus 267 equals forty-seven.,42,153 + 847 = 982,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f42.mp3,1,153 plus 267 equals 47.
736 plus 532 equals forty-seven.,43,736 + 532 = 37,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f43.mp3,1,736 plus 532 equals 47
985 plus 514 equals forty-seven.,44,985 + 514 = 2414,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f44.mp3,1,985 plus 514 equals 47
399 plus 921 equals forty-seven.,45,399 + 921 = 523,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f45.mp3,1,399 plus 921 equals 47
342 plus 2 equals forty-seven.,46,342 + 2 = 769,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f46.mp3,1,342 plus 2 equals 47
497 plus 417 equals forty-seven.,47,497 + 417 = 124,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f47.mp3,1,497 plus 417 equals 47
119 plus 889 equals forty-seven.,48,119 + 889 = 380,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f48.mp3,1,119 plus 889 equals 47.
287 plus 243 equals forty-seven.,49,5637 + 243 = 607,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f49.mp3,1,287 plus 243 equals 47
496 plus 795 equals forty-seven.,50,496 + 795 = 785,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f50.mp3,1,496 plus 795 equals 47
161 minus 189 equals negative one.,51,161 - 189 = 951,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f51.mp3,1,161-189 equals negative 1
870 minus 566 equals negative one.,52,870 - 566 = 196,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f52.mp3,1,870-566 equals negative 1
826 minus 215 equals negative one.,53,8759 - 215 = 305,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f53.mp3,1,826-215 equals negative 1
408 minus 530 equals negative one.,54,408 - 530 = 538,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f54.mp3,1,408-530 equals negative 1.
135 minus 515 equals negative one.,55,135 - 515 = 939,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f55.mp3,1,135-515 equals negative 1.
522 minus 298 equals negative one.,56,522 - 298 = 63,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f56.mp3,1,522-298 equals negative 1
23 minus 742 equals negative one.,57,23 - 742 = 741,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f57.mp3,1,23-742-1
631 minus 388 equals negative one.,58,631 - 388 = 29,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f58.mp3,1,631-388 equals negative 1
997 minus 7 equals negative one.,59,997 - 7 = 744,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f59.mp3,1,997-7 equals negative 1
104 minus 784 equals negative one.,60,104 - 784 = 294,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f60.mp3,1,104-784 equals negative 1
232 minus 262 equals negative one.,61,232 - 4402 = 22,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f61.mp3,1,232-262 equals negative 1
640 minus 870 equals negative one.,62,640 - 870 = 961,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f62.mp3,1,640-870 equals negative 1.
301 minus 197 equals negative one.,63,301 - 197 = 709,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f63.mp3,1,301-197 equals negative 1.
675 minus 754 equals negative one.,64,675 - 754 = 259,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f64.mp3,1,675–754 equals negative 1
798 minus 912 equals negative one.,65,798 - 912 = 357,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f65.mp3,1,798-912 equals negative 1
557 minus 466 equals negative one.,66,557 - 466 = 813,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f66.mp3,1,557-466 equals negative 1
79 minus 64 equals negative one.,67,79 - 64 = 6887,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f67.mp3,1,79-64 equals negative 1
77 minus 318 equals negative one.,68,77 - 318 = 859,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f68.mp3,1,77–318 equals negative 1
317 minus 616 equals negative one.,69,317 - 616 = 5363,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f69.mp3,1,317-616 equals negative 1
829 minus 841 equals negative one.,70,829 - 841 = 9230,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f70.mp3,1,829-841 equals negative 1
545 times 673 equals five hundred fifty-two.,71,545 \times 673 = 34,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f71.mp3,1,545 × 673 × 552
463 times 54 equals five hundred fifty-two.,72,463 \times 54 = 391,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f72.mp3,1,463 × 54 equals 552
849 times 550 equals five hundred fifty-two.,73,849 \times 550 = 412,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f73.mp3,1,849 × 550 × 552
522 times 153 equals five hundred fifty-two.,74,522 \times 153 = 471,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f74.mp3,1,522 × 153 × 552
460 times 931 equals five hundred fifty-two.,75,460 \times 931 = 321,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f75.mp3,1,460 x 931 equals 552
266 times 922 equals five hundred fifty-two.,76,1876 \times 922 = 9,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f76.mp3,1,266 × 922 × 552
278 times 930 equals five hundred fifty-two.,77,2378 \times 930 = 779,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f77.mp3,1,278 × 930 × 552
939 times 277 equals five hundred fifty-two.,78,939 \times 7237 = 13,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f78.mp3,1,939 × 277 × 552
141 times 262 equals five hundred fifty-two.,79,141 \times 792 = 96,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f79.mp3,1,141 × 262 × 552
947 times 546 equals five hundred fifty-two.,80,947 \times 546 = 510,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f80.mp3,1,947 × 546 × 552
263 times 637 equals five hundred fifty-two.,81,1243 \times 637 = 845,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f81.mp3,1,263 × 637 × 552
56 times 526 equals five hundred fifty-two.,82,56 \times 5685 = 106,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f82.mp3,1,56 × 526 × 552
589 times 761 equals five hundred fifty-two.,83,589 \times 761 = 688,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f83.mp3,1,589 × 761 × 552
378 times 51 equals five hundred fifty-two.,84,378 \times 51 = 21,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f84.mp3,1,378 × 51 equals 552
461 times 563 equals five hundred fifty-two.,85,461 \times 563 = 93,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f85.mp3,1,461 × 563 × 552
363 times 424 equals five hundred fifty-two.,86,363 \times 424 = 929,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f86.mp3,1,363 × 424 × 552
212 times 31 equals five hundred fifty-two.,87,212 \times 31 = 5186,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f87.mp3,1,212 × 31 equals 552
563 times 152 equals five hundred fifty-two.,88,563 \times 152 = 735,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f88.mp3,1,563 × 152 × 552
969 times 110 equals five hundred fifty-two.,89,969 \times 110 = 936,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f89.mp3,1,969 × 110 × 552
684 times 969 equals five hundred fifty-two.,90,684 \times 969 = 118,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f90.mp3,1,684 × 969 × 552
476 divided by 813 equals zero point nine five eight three.,91,476 \div 813 = 415,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f91.mp3,1,476 divided by 813 equals 0.9583
925 divided by 806 equals zero point nine five eight three.,92,9985 \div 806 = 985,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f92.mp3,1,925 divided by 806 equals 0.9583
768 divided by 299 equals zero point nine five eight three.,93,768 \div 299 = 45,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f93.mp3,1,768 divided by 299 equals 0.9583
550 divided by 868 equals zero point nine five eight three.,94,550 \div 868 = 579,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f94.mp3,1,550 divided by 868 equals 0.9583
790 divided by 632 equals zero point nine five eight three.,95,790 \div 632 = 160,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f95.mp3,1,790 divided by 632 equals 0.9583
19 divided by 899 equals zero point nine five eight three.,96,19 \div 899 = 944,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f96.mp3,1,19 divided by 899 equals 0.9583
346 divided by 189 equals zero point nine five eight three.,97,346 \div 189 = 878,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f97.mp3,1,346 divided by 189 equals 0.9583
128 divided by 977 equals zero point nine five eight three.,98,1163 \div 977 = 646,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f98.mp3,1,128 divided by 977 equals 0.9583
774 divided by 604 equals zero point nine five eight three.,99,774 \div 604 = 673,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f99.mp3,1,774 divided by 604 equals 0.9583
440 divided by 201 equals zero point nine five eight three.,100,440 \div 201 = 325,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f100.mp3,1,440 divided by 201 equals 0.9583
528 divided by 324 equals zero point nine five eight three.,101,5680 \div 324 = 734,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f101.mp3,1,528 divided by 324 equals 0.9583
898 divided by 597 equals zero point nine five eight three.,102,898 \div 597 = 560,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f102.mp3,1,898 divided by 597 equals 0.9583
482 divided by 570 equals zero point nine five eight three.,103,482 \div 570 = 36,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f103.mp3,1,482 divided by 570 equals 0.9583
152 divided by 508 equals zero point nine five eight three.,104,152 \div 508 = 364,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f104.mp3,1,152 divided by 508 equals 0.9583
450 divided by 486 equals zero point nine five eight three.,105,450 \div 486 = 664,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f105.mp3,1,450 divided by 486 equals 0.9583
899 divided by 315 equals zero point nine five eight three.,106,899 \div 315 = 975,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f106.mp3,1,899 divided by 315 equals 0.9583
456 divided by 867 equals zero point nine five eight three.,107,456 \div 867 = 371,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f107.mp3,1,456 divided by 867 equals 0.9583
355 divided by 696 equals zero point nine five eight three.,108,355 \div 696 = 822,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f108.mp3,1,355 divided by 696 equals 0.9583
221 divided by 750 equals zero point nine five eight three.,109,221 \div 750 = 113,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f109.mp3,1,221 divided by 750 equals 0.9583
391 divided by 74 equals zero point nine five eight three.,110,391 \div 74 = 930,/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f110.mp3,1,391 divided by 74 equals 0.9583
The sum from i equals one to n of 779 times y sub i.,111,{\sum_{i=1}^{n} 779 \times y_i},/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f111.mp3,1,The sum from i equals 1 to n of 779 times y sub i
The sum from i equals one to n of 158 times zeta sub i.,112,{\sum_{i=1}^{n} 158 \times \zeta_i},/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f112.mp3,1,The sum from i equals 1 to n of 158 times seta sub i
The sum from i equals one to n of 486 times x sub i.,113,{\sum_{i=1}^{n} 486 \times x_i},/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f113.mp3,1,The sum from i equals 1 to n of 486 times x sub i
The sum from i equals one to n of 580 times x sub i.,114,{\sum_{i=1}^{n} 580 \times x_i},/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f114.mp3,1,The sum from i equals 1 to n of 580 times x sub i
The sum from i equals one to n of 479 times a sub i.,115,{\sum_{i=1}^{n} 479 \times a_i},/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f115.mp3,1,The sum from i equals 1 to n of 479 times a sub i
The sum from i equals one to n of 4 times eta sub i.,116,{\sum_{i=1}^{n} 4 \times \eta_i},/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f116.mp3,1,The sum from i equals 1 to n of 4 times 8 is sub i.
The sum from i equals one to n of 778 times epsilon sub i.,117,{\sum_{i=1}^{n} 778 \times \epsilon_i},/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f117.mp3,1,The sum from i equals 1 to n of 778 times ε sub i
The sum from i equals one to n of 41 times z sub i.,118,{\sum_{i=1}^{n} 41 \times z_i},/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f118.mp3,1,The sum from i equals 1 to n of 41 times c sub i.
The sum from i equals one to n of 768 times delta sub i.,119,{\sum_{i=1}^{n} 768 \times \delta_i},/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f119.mp3,1,The sum from i equals 1 to n of 768 times delta sub i
The sum from i equals one to n of 480 times zeta sub i.,120,{\sum_{i=1}^{n} 480 \times \zeta_i},/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f120.mp3,1,The sum from i equals 1 to n of 480 times seta sub i
The sum from i equals one to n of 543 times c sub i.,121,{\sum_{i=1}^{n} 543 \times c_i},/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f121.mp3,1,The sum from i equals 1 to n of 543 times c sub i.
The sum from i equals one to n of 522 times alpha sub i.,122,{\sum_{i=1}^{n} 522 \times \alpha_i},/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f122.mp3,1,The sum from i equals 1 to n of 522 times α sub i
The sum from i equals one to n of 902 times b sub i.,123,{\sum_{i=1}^{n} 902 \times b_i},/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f123.mp3,1,The sum from i equals 1 to n of 902 times b sub i
The sum from i equals one to n of 904 times delta sub i.,124,{\sum_{i=1}^{n} 904 \times \delta_i},/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f124.mp3,1,The sum from i equals 1 to n of 904 times delta sub i
The sum from i equals one to n of 689 times eta sub i.,125,{\sum_{i=1}^{n} 689 \times \eta_i},/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f125.mp3,1,The sum from i equals 1 to n of 689 times 8 is sub i.
The sum from i equals one to n of 576 times c sub i.,126,{\sum_{i=1}^{n} 576 \times c_i},/content/drive/My Drive/cs229-audio-project/audiodb_new_simple_eqs/audios/v1_f126.mp3,1,The sum from i equals 1 to n of 576 times c sub i
