id;Latex;English 1;English 2;English 3
211;A \cdot {vector} = {vector};A times vector equals vector.;The product of A and a vector gives us a vector.;A multiplied by a vector results in a vector.
212;\det(B) = 190;The determinant of matrix B equals one hundred and ninety.;Matrix B's determinant is one ninety.;The determinant of B is equal to one hundred ninety.
213;\det(D) = 460;The determinant of matrix D equals four hundred and sixty.;The determinant of D is four sixty.;Matrix D's determinant is equal to four hundred sixty.
214;\det(C) = 9;The determinant of matrix C equals nine.;Matrix C's determinant is nine.;The determinant of C is equal to nine.
215;\det(B) = 59921;The determinant of matrix B equals fifty-nine thousand, nine hundred and twenty-one.;Matrix B's determinant is fifty-nine thousand, nine hundred and twenty-one.;The determinant of B is fifty-nine thousand, nine hundred and twenty-one.
216;\det(B) = 819;The determinant of matrix B equals eight hundred and nineteen.;Matrix B's determinant is eight one nine.;The determinant of B is eight hundred nineteen.
217;\det(C) = 6779;The determinant of matrix C equals six thousand seven hundred seventy-nine.;Matrix C's determinant is six thousand seven hundred seventy-nine.;The determinant of C is six thousand seven hundred seventy-nine.
218;\det(Y) = 611;The determinant of matrix Y equals six hundred eleven.;Matrix Y's determinant is six one one.;The determinant of Y is equal to six hundred and eleven.
219;\det(C) = 713;The determinant of matrix C equals seven hundred thirteen.;Matrix C's determinant is seven one three.;The determinant of C is equal to seven hundred and thirteen.
220;\det(D) = 368;The determinant of matrix D equals three hundred sixty-eight.;Matrix D's determinant is three hundred sixty-eight.;The determinant of D is equal to three hundred sixty-eight.
221;\det(C) = 780;The determinant of matrix C equals seven hundred and eighty.;Matrix C's determinant is seven hundred and eighty.;The determinant of C is equal to seven hundred and eighty.
222;\det(A) = 432;The determinant of matrix A equals four hundred and thirty-two.;Matrix A's determinant is four hundred and thirty-two.;The determinant of A is equal to four hundred and thirty-two.
223;\det(Y) = 31080;The determinant of matrix Y equals thirty-one thousand and eighty.;The determinant of Y is thirty-one thousand and eighty.;Matrix Y has a determinant of thirty-one thousand and eighty.
224;\det(C) = 77;The determinant of matrix C equals seventy-seven.;Matrix C's determinant is seventy-seven.;The determinant of C is equal to seventy-seven.
225;\det(Y) = 807;The determinant of matrix Y equals eight hundred and seven.;Matrix Y's determinant is eight hundred and seven.;The determinant of Y is eight hundred and seven.
226;\det(B) = 351;The determinant of matrix B equals three hundred and fifty-one.;Matrix B's determinant is three hundred and fifty-one.;The determinant of B is equal to three hundred and fifty-one.
227;\det(A) = 869;The determinant of matrix A equals eight hundred sixty-nine.;Matrix A's determinant is eight hundred sixty-nine.;The determinant of A is eight hundred sixty-nine.
228;\det(D) = 1847;The determinant of matrix D equals one thousand eight hundred forty-seven.;The determinant of D is one eight four seven.;Matrix D's determinant is one thousand eight hundred and forty-seven.
229;\det(C) = 9;The determinant of matrix C equals nine.;Matrix C's determinant is nine.;The determinant of C is equal to nine.
230;\det(C) = 4;The determinant of matrix C equals four.;Matrix C's determinant is four.;The determinant of C is equal to four.
231;\det(A) = 871;The determinant of matrix A equals eight hundred seventy-one.;Matrix A's determinant is eight hundred seventy-one.;The determinant of A is eight hundred seventy-one.
232;\lim_{b \to {infinity}} g(\eta);The limit as b approaches infinity of g of eta.;As b goes to infinity, the limit of g of eta.;The limit of g of eta when b tends to infinity.
233;\lim_{\epsilon \to {infinity}} h(c);The limit as epsilon approaches infinity of h of c.;As epsilon goes to infinity, the limit of h of c.;The limit of h of c when epsilon tends to infinity.
234;\lim_{\epsilon \to {infinity}} \psi(x);The limit as epsilon approaches infinity of psi of x.;As epsilon goes to infinity, the limit of psi of x.;The limit of psi of x when epsilon tends to infinity.
235;\lim_{c \to {infinity}} f(y);The limit as c approaches infinity of f of y.;As c goes to infinity, the limit of f of y.;The limit of f of y when c tends to infinity.
236;\lim_{x \to {infinity}} g(x);The limit as x approaches infinity of g of x.;As x goes to infinity, the limit of g of x.;The limit of g of x when x tends to infinity.
237;\lim_{\epsilon \to {infinity}} f(\epsilon);The limit as epsilon approaches infinity of f of epsilon.;As epsilon goes to infinity, the limit of f of epsilon.;The limit of f of epsilon when epsilon tends to infinity.
238;\lim_{x \to {infinity}} h(\beta);The limit as x approaches infinity of h of beta.;As x goes to infinity, the limit of h of beta.;The limit of h of beta when x tends to infinity.
239;\lim_{x \to {infinity}} g(c);The limit as x approaches infinity of g of c.;As x goes to infinity, the limit of g of c.;The limit of g of c when x tends to infinity.
240;\lim_{z \to {infinity}} g(\eta);The limit as z approaches infinity of g of eta.;As z goes to infinity, the limit of g of eta.;The limit of g of eta when z tends to infinity.
241;\lim_{\epsilon \to {infinity}} \psi(\epsilon);The limit as epsilon approaches infinity of psi of epsilon.;As epsilon goes to infinity, the limit of psi of epsilon.;The limit of psi of epsilon when epsilon tends to infinity.
242;\lim_{b \to {infinity}} f(x);The limit as b approaches infinity of f of x.;As b goes to infinity, the limit of f of x.;The limit of f of x when b tends to infinity.
243;\lim_{b \to {infinity}} g(a);The limit as b approaches infinity of g of a.;As b goes to infinity, the limit of g of a.;The limit of g of a when b tends to infinity.
244;\lim_{\eta \to {infinity}} g(\delta);The limit as eta approaches infinity of g of delta.;As eta goes to infinity, the limit of g of delta.;The limit of g of delta when eta tends to infinity.
245;\lim_{\delta \to {infinity}} \psi(\alpha);The limit as delta approaches infinity of psi of alpha.;As delta goes to infinity, the limit of psi of alpha.;The limit of psi of alpha when delta tends to infinity.
246;\lim_{\epsilon \to {infinity}} f(\eta);The limit as epsilon approaches infinity of f of eta.;As epsilon goes to infinity, the limit of f of eta.;The limit of f of eta when epsilon tends to infinity.
247;\lim_{b \to {infinity}} \phi(b);The limit as b approaches infinity of phi of b.;As b goes to infinity, the limit of phi of b.;The limit of phi of b when b tends to infinity.
248;\lim_{\alpha \to {infinity}} \phi(y);The limit as alpha approaches infinity of phi of y.;As alpha goes to infinity, the limit of phi of y.;The limit of phi of y when alpha tends to infinity.
249;\lim_{y \to {infinity}} g(z);The limit as y approaches infinity of g of z.;As y goes to infinity, the limit of g of z.;The limit of g of z when y tends to infinity.
250;\lim_{c \to {infinity}} f(\delta);The limit as c approaches infinity of f of delta.;As c goes to infinity, the limit of f of delta.;The limit of f of delta when c tends to infinity.
251;\lim_{c \to {infinity}} f(\beta);The limit as c approaches infinity of f of beta.;As c goes to infinity, the limit of f of beta.;The limit of f of beta when c tends to infinity.
252;C_{m \times n};C sub m times n.;C with subscript m times n.;C indexed by m times n.
253;\nabla \cdot \vec{F} = 947;The divergence of vector F equals nine hundred and forty-seven.;The dot product of the del operator and vector F is nine hundred and forty-seven.;The scalar result of applying the divergence operator to vector F is nine hundred and forty-seven.
254;\nabla \cdot \vec{F} = 171;The divergence of vector F equals one hundred seventy-one.;The dot product of the del operator and vector F is one hundred seventy-one.;The scalar result of applying the divergence operator to vector F is one hundred seventy-one.
255;\nabla \cdot \vec{F} = 419;The divergence of vector F equals four hundred and nineteen.;The dot product of the del operator and vector F is four one nine.;The scalar result of applying the nabla operator to vector F is four hundred nineteen.
256;\nabla \cdot \vec{F} = 182;The divergence of vector F equals one hundred and eighty-two.;The dot product of the del operator and vector F is one hundred and eighty-two.;The scalar result of applying the nabla operator to vector F is one hundred and eighty-two.
257;\nabla \cdot \vec{F} = 672;The divergence of vector F equals six hundred and seventy-two.;The dot product of the del operator and vector F is six hundred and seventy-two.;The scalar result of applying the divergence operator to vector F is six hundred and seventy-two.
258;\nabla \cdot \vec{F} = 47;The divergence of vector F equals forty-seven.;The dot product of the del operator and vector F is forty-seven.;The scalar result of applying the divergence operator to vector F is forty-seven.
259;\nabla \cdot \vec{F} = 202;The divergence of vector F equals two hundred and two.;The dot product of the del operator and vector F is two hundred and two.;The scalar result of applying the divergence operator to vector F is two hundred and two.
260;\nabla \cdot \vec{F} = 192;The divergence of vector F equals one hundred ninety-two.;The dot product of the del operator and vector F is one hundred ninety-two.;The scalar result of applying the nabla operator to vector F is one hundred ninety-two.
261;\nabla \cdot \vec{F} = 745;The divergence of vector F equals seven hundred and forty-five.;The dot product of the del operator and vector F is seven hundred and forty-five.;The scalar result of applying the divergence operator to vector F is seven hundred and forty-five.
262;\nabla \cdot \vec{F} = 589;The divergence of vector F equals five hundred and eighty-nine.;The dot product of the del operator and vector F is five hundred and eighty-nine.;The scalar result of applying the divergence operator to vector F is five hundred and eighty-nine.
263;\nabla \cdot \vec{F} = 699;The divergence of vector F equals six hundred and ninety-nine.;The dot product of the del operator and vector F is six hundred and ninety-nine.;The scalar result of applying the divergence operator to vector F is six hundred and ninety-nine.
264;\nabla \cdot \vec{F} = 233;The divergence of vector F equals two hundred and thirty-three.;The dot product of the del operator and vector F is two hundred and thirty-three.;The scalar result of applying the divergence operator to vector F is two hundred and thirty-three.
265;\nabla \cdot \vec{F} = 835;The divergence of vector F equals eight hundred and thirty-five.;The dot product of the del operator and vector F is eight hundred and thirty-five.;The scalar result of applying the divergence operator to vector F is eight hundred and thirty-five.
266;\nabla \cdot \vec{F} = 137;The divergence of vector F equals one hundred and thirty-seven.;The dot product of the del operator and vector F is one hundred and thirty-seven.;The scalar result of applying the divergence operator to vector F is one hundred and thirty-seven.
267;\nabla \cdot \vec{F} = 158;The divergence of vector F equals one hundred and fifty-eight.;The dot product of the del operator and vector F is one hundred and fifty-eight.;The scalar result of applying the divergence operator to vector F is one hundred and fifty-eight.
268;\nabla \cdot \vec{F} = 131;The divergence of vector F equals one hundred and thirty-one.;The dot product of the del operator and vector F is one hundred and thirty-one.;The scalar result of applying the divergence operator to vector F is one hundred and thirty-one.
269;\nabla \cdot \vec{F} = 513;The divergence of vector F equals five hundred thirteen.;The dot product of the del operator and vector F is five hundred thirteen.;The scalar result of applying the nabla operator to vector F is five hundred thirteen.
270;\nabla \cdot \vec{F} = 334;The divergence of vector F equals three hundred and thirty-four.;The dot product of the del operator and vector F is three hundred and thirty-four.;The scalar result of applying the divergence operator to vector F is three hundred and thirty-four.
271;\nabla \cdot \vec{F} = 65;The divergence of vector F equals sixty-five.;The dot product of the del operator and vector F is sixty-five.;The scalar result of applying the divergence operator to vector F is sixty-five.
272;\nabla \cdot \vec{F} = 840;The divergence of vector F equals eight hundred and forty.;The dot product of the del operator and vector F is eight hundred and forty.;The scalar result of applying the nabla operator to vector F is eight hundred and forty.
273;\nabla \times \vec{F} = \vec{0};The curl of vector F equals the zero vector.;The vector field F has zero curl.;The cross product of the del operator and vector F is the zero vector.
274;\frac{\partial f}{\partial x} = f';The partial derivative of f with respect to x equals f prime.;The rate of change of f with respect to x is f prime.;The derivative of f in terms of x is represented as f prime.
275;\frac{\partial h}{\partial \delta} = h';The partial derivative of h with respect to delta equals h prime.;The rate of change of h with respect to delta is h prime.;The derivative of h with respect to delta is denoted as h prime.
276;\frac{\partial g}{\partial \zeta} = g';The partial derivative of g with respect to zeta equals g prime.;The rate of change of g with respect to zeta is represented as g prime.;The derivative of g in terms of zeta is given as g prime.
277;\frac{\partial h}{\partial x} = h';The partial derivative of h with respect to x equals h prime.;The rate of change of h with respect to x is h prime.;The derivative of h in terms of x is denoted as h prime.
278;\frac{\partial \phi}{\partial \epsilon} = \phi';The partial derivative of phi with respect to epsilon equals phi prime.;Phi prime is the partial derivative of phi with respect to epsilon.;The rate of change of phi with respect to epsilon is represented as phi prime.
279;\frac{\partial g}{\partial \delta} = g';The partial derivative of g with respect to delta equals g prime.;The rate of change of g with respect to delta is g prime.;The derivative of g with respect to delta is denoted as g prime.
280;\frac{\partial \psi}{\partial a} = \psi';The partial derivative of psi with respect to a equals psi prime.;The rate of change of psi with respect to a is psi prime.;The derivative of psi in terms of a is represented as psi prime.
281;\frac{\partial h}{\partial x} = h';The partial derivative of h with respect to x equals h prime.;The rate of change of h with respect to x is h prime.;The derivative of h in terms of x is represented as h prime.
282;\frac{\partial f}{\partial a} = f';The partial derivative of f with respect to a equals f prime.;The rate of change of f with respect to a is f prime.;The derivative of f with respect to a is denoted as f prime.
283;\frac{\partial h}{\partial b} = h';The partial derivative of h with respect to b equals h prime.;The rate of change of h with respect to b is h prime.;The change in h over the change in b equals h prime.
284;\frac{\partial \phi}{\partial \delta} = \phi';The partial derivative of phi with respect to delta equals phi prime.;The rate of change of phi with respect to delta is phi prime.;The change in phi over the change in delta equals phi prime.
285;\frac{\partial h}{\partial \zeta} = h';The partial derivative of h with respect to zeta equals h prime.;The rate of change of h with respect to zeta is h prime.;The derivative of h in terms of zeta is represented as h prime.
286;\frac{\partial g}{\partial c} = g';The partial derivative of g with respect to c equals g prime.;The rate of change of g with respect to c is g prime.;The derivative of g in terms of c is represented as g prime.
287;\frac{\partial h}{\partial x} = h';The partial derivative of h with respect to x equals h prime.;The rate of change of h with respect to x is h prime.;The change in h over the change in x equals h prime.
288;\frac{\partial \phi}{\partial \eta} = \phi';The partial derivative of phi with respect to eta equals phi prime.;Phi prime is the partial derivative of phi with respect to eta.;The rate of change of phi with respect to eta is represented as phi prime.
289;\frac{\partial f}{\partial x} = f';The partial derivative of f with respect to x equals f prime.;The rate of change of f with respect to x is f prime.;The derivative of f in terms of x is represented as f prime.
290;\frac{\partial g}{\partial \eta} = g';The partial derivative of g with respect to eta equals g prime.;The rate of change of g with respect to eta is g prime.;The derivative of g with respect to eta is denoted as g prime.
291;\frac{\partial h}{\partial \alpha} = h';The partial derivative of h with respect to alpha equals h prime.;The rate of change of h with respect to alpha is h prime.;The derivative of h in terms of alpha is represented as h prime.
292;\frac{\partial f}{\partial \delta} = f';The partial derivative of f with respect to delta equals f prime.;The rate of change of f with respect to delta is f prime.;The derivative of f with respect to delta is denoted as f prime.
293;\frac{\partial h}{\partial \alpha} = h';The partial derivative of h with respect to alpha equals h prime.;The rate of change of h with respect to alpha is h prime.;The derivative of h in terms of alpha is represented as h prime.
294;z_1, y_2,..., a_n \in \mathbb{D};Z one, Y two, through A n, belong to the set D.;Z one, Y two, up to A n, are elements of D.;Z one, Y two, all the way to A n, are in the set D.
295;b_1, \eta_2,..., b_n \in \mathbb{C};B one, eta two, up to B n, are elements of the set of complex numbers.;B one, eta two, through B n, belong to the complex number set.;B one, eta two, all the way to B n, are in the set of complex numbers.
296;x_1, x_2,..., y_n \in \mathbb{B};X one, X two, and so on, up to Y N, are elements of the set B.;X one through X two, all the way to Y N, belong to the set B.;The elements X one, X two, and so forth, up to Y N, are all in the set B.
297;a_1, x_2,..., \eta_n \in \mathbb{D};A one, X two, up to eta n, belong to the set D.;A one, X two, through eta n, are elements of D.;A one, X two, and so on until eta n, are in the set D.
298;\alpha_1, \delta_2,..., \eta_n \in \mathbb{Y};Alpha one, delta two, through eta n, belong to the set Y.;Alpha one, delta two, up to eta n, are elements of the set Y.;Alpha one, delta two, all the way to eta n, are in the set Y.
299;b_1, \eta_2,..., b_n \in \mathbb{D};B one, eta two, up to B n, are elements of D.;B one, eta two, through B n, belong to the set D.;B one, eta two, and so on until B n, are in the domain D.
300;b_1, \eta_2,..., \alpha_n \in \mathbb{Y};B one, eta two, up to alpha n, belong to the set Y.;B one, eta two, through alpha n, are elements of the set Y.;B one, eta two, all the way to alpha n, are in the set Y.
301;\alpha_1, x_2,..., a_n \in \mathbb{Y};Alpha one, x two, up to a n, are elements of the set Y.;Alpha one, x two, and so on until a n, belong to the set Y.;Alpha one, x two, through a n, are all in the set Y.
302;a_1, c_2,..., \alpha_n \in \mathbb{Y};A one, C two, up to alpha n, are elements of the set Y.;A one, C two, through alpha n, belong to the set Y.;A one, C two, all the way to alpha n, are in the set Y.
303;b_1, z_2,..., a_n \in \mathbb{Y};B one, Z two, up to A n, belong to the set Y.;B one, Z two, through A n, are elements of the set Y.;B one, Z two, all the way to A n, are in the set Y.
304;\eta_1, \beta_2,..., z_n \in \mathbb{D};Eta one, beta two, through z n, belong to the set D.;Eta one, beta two, up to z n, are elements of D.;Eta one, beta two, all the way to z n, are in the set D.
305;b_1, b_2,..., \beta_n \in \mathbb{B};B one, B two, through Beta n, are elements of the set B.;B one, B two, up to Beta n, belong to the set B.;B one, B two, all the way to Beta n, are in the set B.
306;b_1, \delta_2,..., \gamma_n \in \mathbb{C};B one, delta two, up to gamma n, are elements of the set of complex numbers.;B one, delta two, through gamma n, belong to the complex number set.;B one, delta two, all the way to gamma n, are in the set of complex numbers.
307;z_1, \beta_2,..., \delta_n \in \mathbb{C};Z one, beta two, through delta n, belong to the set of complex numbers.;Z one, beta two, up to delta n, are elements of the complex numbers.;Z one, beta two, all the way to delta n, are in the complex number set.
308;a_1, z_2,..., \gamma_n \in \mathbb{D};A one, Z two, up to gamma n, belong to the set D.;A one, Z two, through gamma n, are elements of D.;A one, Z two, all the way to gamma n, are in the set D.
309;z_1, y_2,..., \zeta_n \in \mathbb{C};Z one, Y two, through Zeta n are elements of the set of complex numbers.;Z one, Y two, up to Zeta n belong to the complex number set.;Z one, Y two, all the way to Zeta n are in the complex number domain.
310;\epsilon_1, c_2,..., c_n \in \mathbb{D};Epsilon one, c two through c n belong to the set D.;Epsilon one and c two up to c n are elements of D.;Epsilon one, c two, and so on up to c n are in the set D.
311;\epsilon_1, \zeta_2,..., a_n \in \mathbb{D};Epsilon one, zeta two, up to a n, belong to the set D.;Epsilon one, zeta two, through a n, are elements of D.;Epsilon one, zeta two, all the way to a n, are in the set D.
312;\alpha_1, b_2,..., \alpha_n \in \mathbb{X};Alpha one, b two, through alpha n, are elements of the set X.;Alpha one, b two, up to alpha n, belong to the set X.;Alpha one, b two, all the way to alpha n, are in the set X.
313;\eta_1, b_2,..., \gamma_n \in \mathbb{D};Eta one, b two, up to gamma n, belong to the set D.;Eta one, b two, through gamma n, are elements of the set D.;Eta one, b two, all the way to gamma n, are in the set D.
314;\log_{323.19} c = 807;The logarithm base 323.19 of c equals 807.;Log base 323.19 of c is 807.;The log of c to the base 323.19 is 807.
315;\log_{42.63} x = 364;The logarithm base forty-two point sixty-three of x equals three hundred sixty-four.;Log base forty-two point sixty-three of x is equal to three hundred sixty-four.;The log of x to the base forty-two point sixty-three is three hundred sixty-four.
316;\log_{33.09} \zeta = 683;The logarithm base thirty-three point zero nine of zeta equals six hundred eighty-three.;Log base thirty-three point zero nine of zeta is equal to six hundred eighty-three.;Zeta log base thirty-three point zero nine equals six hundred eighty-three.
317;\log_{234.55} y = 191;The logarithm base two hundred thirty-four point five five of y equals one hundred ninety-one.;Log base two three four point five five of y is equal to one nine one.;The log of y to the base of two hundred thirty-four point five five is one hundred ninety-one.
318;\log_{416.75} b = 3344;The logarithm base 416.75 of b equals 3344.;Log base 416.75 of b is 3344.;The log of b to the base 416.75 is 3344.
319;\log_{353.47} c = 665;The logarithm base 353.47 of c equals 665.;Log base 353.47 of c is 665.;The log of c to the base 353.47 is 665.
320;\log_{481.00} \alpha = 32;The logarithm base 481 of alpha equals 32.;Log base 481 of alpha is 32.;Alpha is the antilogarithm of 32 to the base 481.
321;\log_{41.28} b = 302;The logarithm base 41.28 of b equals 302.;Log base 41.28 of b is 302.;The log of b to the base 41.28 is 302.
322;\log_{253.59} a = 307;The logarithm base two hundred fifty-three point five nine of a equals three hundred seven.;Log base two five three point five nine of a is equal to three zero seven.;The log of a, with a base of two hundred fifty-three point fifty-nine, equals three hundred seven.
323;\log_{267.85} x = 576;The logarithm base 267.85 of x equals 576.;Log base 267.85 of x is 576.;The log of x to the base 267.85 is 576.
324;\log_{175.10} x = 655;The log base one seventy-five point one of x equals six fifty-five.;Logarithm to the base one seventy-five point one of x is equal to six fifty-five.;The log of x to the base one seventy-five point one is six fifty-five.
325;\log_{7.24} \epsilon = 187;The logarithm base seven point two four of epsilon equals one hundred eighty-seven.;Log base seven point two four of epsilon is equal to one hundred eighty-seven.;Epsilon log base seven point two four equals one hundred eighty-seven.
326;\log_{351.96} a = 360;The logarithm base three hundred fifty-one point nine six of a equals three hundred sixty.;Log base three fifty-one point nine six of a is equal to three sixty.;The log of a to the base of three hundred fifty-one point nine six is three hundred sixty.
327;\log_{56.69} a = 347;The logarithm base fifty-six point sixty-nine of 'a' equals three hundred forty-seven.;Log base fifty-six point sixty-nine of 'a' is equal to three hundred forty-seven.;The log of 'a' to the base fifty-six point sixty-nine is three hundred forty-seven.
328;\log_{345.99} \epsilon = 464;The log base 345.99 of epsilon equals 464.;Epsilon is the 464th power of 345.99.;The logarithm to the base 345.99 of epsilon is 464.
329;\log_{91.10} \epsilon = 698;The logarithm base ninety-one point one zero of epsilon equals six hundred ninety-eight.;Log base ninety-one point one zero of epsilon is equal to six hundred ninety-eight.;Epsilon log base ninety-one point one zero equals six hundred ninety-eight.
330;\log_{148.66} x = 350;The logarithm base one hundred forty-eight point six six of x equals three hundred fifty.;Log base one forty-eight point six six of x is equal to three fifty.;The log of x to the base of one hundred forty-eight point six six equals three hundred and fifty.
331;\log_{403.88} \eta = 903;The logarithm base 403.88 of eta equals 903.;Log base 403.88 of eta is 903.;Eta log base 403.88 equals 903.
332;\log_{67.81} c = 180;The logarithm base sixty-seven point eight one of c equals one hundred and eighty.;Log base sixty-seven point eight one of c is equal to one hundred and eighty.;The log of c to the base sixty-seven point eight one is one hundred and eighty.
333;\log_{391.44} y = 682;The logarithm base 391.44 of y equals 682.;Log base 391.44 of y is 682.;Y is the number which, when 391.44 is raised to the power of, gives 682.
334;P({event}_A \cap {event}_B) = P({event}_A)P({event}_B);The probability of event A and event B occurring is equal to the probability of event A times the probability of event B.;The probability of both event A and B happening is the product of the probability of event A and the probability of event B.;The joint probability of event A and B is the multiplication of the individual probabilities of event A and event B.
335;\binom{n}{k} = \frac{n!}{k!(n-k)!};N choose K equals N factorial divided by K factorial times the quantity N minus K factorial.;The binomial coefficient of N and K is equal to the factorial of N divided by the product of the factorial of K and the factorial of N minus K.;The combination of N items taken K at a time is equal to N factorial over K factorial times N minus K factorial.
336;||\vec{\zeta}|| = \sqrt{\zeta_1^2 + \gamma_2^2 + \cdots + \delta_n^2};The magnitude of vector zeta equals the square root of the sum of zeta one squared, gamma two squared, and so on, up to delta n squared.;The length of vector zeta is the square root of the sum of the squares of zeta one, gamma two, through to delta n.;The norm of vector zeta is the square root of the sum of zeta one squared, gamma two squared, all the way to delta n squared.
337;||\vec{c}|| = \sqrt{y_1^2 + \eta_2^2 + \cdots + \delta_n^2};The magnitude of vector c equals the square root of the sum of y one squared, eta two squared, and so on, up to delta n squared.;The length of vector c is the square root of the sum of the squares of y one, eta two, through to delta n.;The norm of vector c is the square root of the sum of y one squared, eta two squared, all the way to delta n squared.
338;||\vec{c}|| = \sqrt{\epsilon_1^2 + c_2^2 + \cdots + \delta_n^2};The magnitude of vector c equals the square root of the sum of epsilon one squared, c two squared, and so on, up to delta n squared.;The length of vector c is the square root of the sum of the squares of epsilon one, c two, through to delta n.;The norm of vector c is the square root of the sum of epsilon one squared, c two squared, all the way to delta n squared.
339;||\vec{\alpha}|| = \sqrt{a_1^2 + \epsilon_2^2 + \cdots + \delta_n^2};The magnitude of vector alpha equals the square root of the sum of a one squared, epsilon two squared, and so on, up to delta n squared.;The length of vector alpha is the square root of the sum of the squares of a one, epsilon two, through to delta n.;The norm of vector alpha is the square root of the sum of a one squared, epsilon two squared, all the way to delta n squared.
340;||\vec{\zeta}|| = \sqrt{y_1^2 + \eta_2^2 + \cdots + \delta_n^2};The magnitude of vector zeta equals the square root of the sum of y one squared, eta two squared, and so on, up to delta n squared.;The length of vector zeta is the square root of the sum of the squares of y one, eta two, through to delta n.;The norm of vector zeta is the square root of the sum of y one squared, eta two squared, all the way to delta n squared.
341;||\vec{a}|| = \sqrt{z_1^2 + z_2^2 + \cdots + \delta_n^2};The magnitude of vector a equals the square root of the sum of z one squared, z two squared, and so on, up to delta n squared.;The length of vector a is the square root of the sum of the squares of z one, z two, through to delta n.;The norm of vector a is the square root of the sum of z one squared, z two squared, all the way to delta n squared.
342;||\vec{a}|| = \sqrt{\beta_1^2 + a_2^2 + \cdots + \delta_n^2};The magnitude of vector a equals the square root of the sum of beta one squared, a two squared, and so on, up to delta n squared.;The length of vector a is the square root of the sum of the squares of beta one, a two, through to delta n.;The norm of vector a is the square root of the sum of beta one squared, a two squared, all the way to delta n squared.
343;||\vec{y}|| = \sqrt{\delta_1^2 + c_2^2 + \cdots + \delta_n^2};The magnitude of vector y equals the square root of the sum of delta one squared, c two squared, and so on, up to delta n squared.;The length of vector y is the square root of the sum of the squares of delta one, c two, through to delta n.;The norm of vector y is the square root of the sum of delta one squared, c two squared, all the way to delta n squared.
344;||\vec{b}|| = \sqrt{b_1^2 + x_2^2 + \cdots + \delta_n^2};The magnitude of vector b equals the square root of the sum of b one squared, x two squared, and so on, up to delta n squared.;The length of vector b is the square root of the sum of the squares of b one, x two, through to delta n.;The norm of vector b is the square root of the sum of b one squared, x two squared, all the way to delta n squared.
345;||\vec{\zeta}|| = \sqrt{\zeta_1^2 + x_2^2 + \cdots + \delta_n^2};The magnitude of vector zeta equals the square root of the sum of zeta one squared, x two squared, and so on, up to delta n squared.;The length of vector zeta is the square root of the sum of the squares of zeta one, x two, through to delta n.;The norm of vector zeta is the square root of the sum of zeta one squared, x two squared, all the way to delta n squared.
346;||\vec{z}|| = \sqrt{\eta_1^2 + b_2^2 + \cdots + \delta_n^2};The magnitude of vector z equals the square root of the sum of eta one squared, b two squared, and so on, up to delta n squared.;The length of vector z is the square root of the sum of the squares of eta one, b two, through to delta n.;The norm of vector z is the square root of the sum of eta one squared, b two squared, all the way to delta n squared.
347;||\vec{c}|| = \sqrt{z_1^2 + z_2^2 + \cdots + \delta_n^2};The magnitude of vector c equals the square root of the sum of z one squared, z two squared, and so on, up to delta n squared.;The length of vector c is the square root of the sum of the squares of z one, z two, through to delta n.;The norm of vector c is the square root of the sum of z one squared, z two squared, all the way to delta n squared.
348;||\vec{b}|| = \sqrt{z_1^2 + a_2^2 + \cdots + \delta_n^2};The magnitude of vector b equals the square root of the sum of z one squared, a two squared, and so on, up to delta n squared.;The length of vector b is the square root of the sum of the squares of z one, a two, through to delta n.;The norm of vector b is the square root of the sum of z one squared, a two squared, all the way to delta n squared.
349;||\vec{\zeta}|| = \sqrt{a_1^2 + \gamma_2^2 + \cdots + \delta_n^2};The magnitude of vector zeta equals the square root of the sum of a one squared, gamma two squared, and so on, up to delta n squared.;The length of vector zeta is the square root of the sum of the squares of a one, gamma two, through to delta n.;The norm of vector zeta is the square root of the sum of a one squared, gamma two squared, all the way to delta n squared.
350;||\vec{y}|| = \sqrt{x_1^2 + z_2^2 + \cdots + \delta_n^2};The magnitude of vector y equals the square root of the sum of x one squared, z two squared, and so on, up to delta n squared.;The length of vector y is the square root of the sum of the squares of x one, z two, through to delta n.;The norm of vector y is the square root of the sum of x one squared, z two squared, all the way to delta n squared.
351;||\vec{\alpha}|| = \sqrt{\alpha_1^2 + \zeta_2^2 + \cdots + \delta_n^2};The magnitude of vector alpha equals the square root of the sum of alpha one squared, zeta two squared, and so on, up to delta n squared.;The length of vector alpha is the square root of the sum of the squares of alpha one, zeta two, through to delta n.;The norm of vector alpha is the square root of the sum of alpha one squared, zeta two squared, all the way to delta n squared.
352;||\vec{x}|| = \sqrt{x_1^2 + x_2^2 + \cdots + \delta_n^2};The magnitude of vector x equals the square root of the sum of x one squared, x two squared, and so on, up to delta n squared.;The length of vector x is the square root of the sum of the squares of x one, x two, through to delta n.;The norm of vector x is the square root of the sum of x one squared, x two squared, all the way to delta n squared.
353;||\vec{c}|| = \sqrt{z_1^2 + x_2^2 + \cdots + \delta_n^2};The magnitude of vector c equals the square root of the sum of z one squared, x two squared, and so on, up to delta n squared.;The length of vector c is the square root of the sum of the squares of z one, x two, through to delta n.;The norm of vector c is the square root of the sum of z one squared, x two squared, all the way to delta n squared.
